asupra,asupră,cu,către,cătră,de,dedesubtul,despre,dimprejurul,din,dinaintea,dinapoia,dindărătul,dinspre,dintre,dintru,dupe,dupre,după,făr,fără,la,lângă,mpotriva,mprejurul,n,naintea,nspre,pe,pentru,per,peste,pintre,prejurul,primprejurul,prin,printre,pro,pân,până,pă,pănă,spre,sub,împotriva,împrejurul,în,înaintea,înapoia,înde,îndărătul,înlăuntrul,înspre,între,întru,înăuntrul,authorCode
0.000000,0.000000,0.018992,0.000000,0.000000,0.0423667,0.000000,0.000000,0.000000,0.00803506,0.00073046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0036523,0.000000,0.000000,0.0182615,0.00219138,0.000000,0.000000,0.00438276,0.000000,0.000000,0.00438276,0.0036523,0.000000,0.000000,0.000000,0.000000,0.000000,0.00073046,0.000000,0.000000,0.000000,0.00073046,0.000000,0.000000,0.000000,0.00073046,0.000000,0.000000,0.00657414,0.00219138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.0003391,0.000000,0.00983384,0.000000,0.000000,0.0451,0.000000,0.0003391,0.000000,0.00474737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00237369,0.000000,0.0003391,0.0176331,0.0006782,0.000000,0.000000,0.00339098,0.000000,0.000000,0.0145812,0.00237369,0.000000,0.0006782,0.000000,0.000000,0.000000,0.00101729,0.000000,0.000000,0.0003391,0.00135639,0.000000,0.000000,0.00101729,0.000000,0.000000,0.000000,0.0152594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0003391,0.000000,0
0.000000,0.000000,0.0136506,0.000000,0.000000,0.036603,0.000000,0.00096642,0.000000,0.0059193,0.000000,0.000000,0.000000,0.000000,0.0002416,0.000000,0.000000,0.000000,0.00350326,0.0001208,0.00096642,0.0155835,0.00096642,0.000000,0.000000,0.00434888,0.000000,0.000000,0.0148587,0.00350326,0.000000,0.00169123,0.000000,0.000000,0.000000,0.0002416,0.0001208,0.000000,0.00072481,0.00265765,0.000000,0.000000,0.0002416,0.0002416,0.0001208,0.000000,0.013409,0.00036241,0.000000,0.000000,0.000000,0.000000,0.0002416,0.0002416,0.000000,0.000000,0
0.000000,0.000000,0.0182094,0.000000,0.000000,0.0318665,0.000000,0.000000,0.000000,0.00758725,0.000000,0.000000,0.000000,0.000000,0.00455235,0.000000,0.000000,0.000000,0.000000,0.000000,0.00151745,0.0212443,0.00151745,0.000000,0.000000,0.00455235,0.000000,0.000000,0.0227618,0.0060698,0.000000,0.0030349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00151745,0.000000,0.000000,0.0060698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0266272,0.000000,0.00118343,0.0431953,0.000000,0.00059172,0.000000,0.0112426,0.000000,0.000000,0.000000,0.000000,0.00059172,0.000000,0.000000,0.000000,0.00295858,0.000000,0.00059172,0.0189349,0.00059172,0.000000,0.000000,0.00295858,0.000000,0.000000,0.0159763,0.00118343,0.000000,0.00177515,0.000000,0.000000,0.000000,0.0035503,0.000000,0.000000,0.000000,0.00236686,0.000000,0.000000,0.00177515,0.000000,0.000000,0.000000,0.0159763,0.000000,0.000000,0.000000,0.000000,0.000000,0.00059172,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0119617,0.000000,0.000000,0.0490431,0.000000,0.000000,0.000000,0.00598086,0.000000,0.000000,0.000000,0.000000,0.00119617,0.000000,0.000000,0.000000,0.000000,0.000000,0.00598086,0.00717703,0.000000,0.000000,0.000000,0.00717703,0.000000,0.000000,0.00956938,0.00239234,0.000000,0.000000,0.00119617,0.000000,0.000000,0.00119617,0.000000,0.000000,0.000000,0.00358852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0131579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0195567,0.000000,0.000000,0.0404172,0.000000,0.000000,0.000000,0.0169491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00260756,0.000000,0.000000,0.0430248,0.000000,0.000000,0.000000,0.0065189,0.000000,0.000000,0.0169491,0.00130378,0.000000,0.00391134,0.000000,0.000000,0.000000,0.00260756,0.000000,0.000000,0.000000,0.000000,0.000000,0.00130378,0.000000,0.000000,0.000000,0.000000,0.0143416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.00023702,0.000000,0.0132733,0.00023702,0.000000,0.0348424,0.000000,0.00047405,0.000000,0.0061626,0.000000,0.000000,0.000000,0.000000,0.00118511,0.000000,0.000000,0.000000,0.00331832,0.000000,0.00071107,0.0184878,0.000000,0.000000,0.000000,0.00497748,0.000000,0.000000,0.0137473,0.00118511,0.000000,0.00094809,0.00023702,0.000000,0.000000,0.00118511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00023702,0.00023702,0.000000,0.000000,0.0118511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00071107,0.000000,0.000000,0
0.000000,0.000000,0.0126354,0.00049229,0.000000,0.0370857,0.000000,0.00082048,0.000000,0.00738431,0.00032819,0.0001641,0.000000,0.0001641,0.0001641,0.000000,0.000000,0.000000,0.00229734,0.000000,0.00082048,0.018871,0.00114867,0.000000,0.000000,0.00344601,0.000000,0.000000,0.0146045,0.00295372,0.000000,0.00049229,0.000000,0.000000,0.0001641,0.00114867,0.000000,0.000000,0.00032819,0.00213325,0.000000,0.000000,0.0001641,0.00049229,0.000000,0.000000,0.0126354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0001641,0.000000,0.000000,0
0.000000,0.000000,0.0065445,0.000000,0.000000,0.039267,0.000000,0.0013089,0.000000,0.0143979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0052356,0.0026178,0.0013089,0.0143979,0.0013089,0.000000,0.000000,0.0091623,0.000000,0.000000,0.0104712,0.0013089,0.000000,0.000000,0.000000,0.000000,0.000000,0.0013089,0.000000,0.000000,0.000000,0.0026178,0.000000,0.000000,0.0039267,0.0039267,0.000000,0.000000,0.013089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0179949,0.000000,0.000000,0.0308483,0.000000,0.000000,0.000000,0.00514139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00128535,0.0179949,0.000000,0.000000,0.000000,0.00514139,0.000000,0.000000,0.00771208,0.00128535,0.000000,0.000000,0.000000,0.000000,0.000000,0.00128535,0.000000,0.000000,0.00128535,0.00128535,0.000000,0.000000,0.00128535,0.00128535,0.000000,0.000000,0.0154242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.00010471,0.000000,0.0163874,0.00041885,0.000000,0.0404712,0.000000,0.00073298,0.000000,0.00596859,0.00020942,0.000000,0.000000,0.000000,0.00036649,0.000000,0.000000,0.000000,0.00319372,0.00010471,0.00136126,0.013822,0.00041885,0.000000,0.000000,0.00387435,0.000000,0.000000,0.0139791,0.00256545,0.000000,0.00146597,0.000000,0.000000,0.000000,0.00146597,0.0004712,0.000000,0.00010471,0.00230366,0.000000,0.000000,0.00057592,0.00031414,5.236e-05,0.000000,0.0146597,0.00078534,0.000000,5.236e-05,0.000000,5.236e-05,5.236e-05,0.0004712,0.00026178,0.000000,0
0.000000,0.000000,0.01875,0.00039062,0.000000,0.0417969,0.000000,0.00507812,0.000000,0.00664062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00585938,0.000000,0.000000,0.0113281,0.0015625,0.000000,0.000000,0.0046875,0.000000,0.000000,0.0128906,0.00234375,0.000000,0.00195312,0.000000,0.000000,0.000000,0.00195312,0.000000,0.000000,0.000000,0.003125,0.000000,0.000000,0.00039062,0.00039062,0.000000,0.000000,0.0167969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00039062,0.00039062,0.000000,0
0.00019073,0.000000,0.0141141,0.000000,0.000000,0.0440587,0.000000,0.00038146,0.000000,0.00514972,0.00038146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00381461,0.000000,0.00133511,0.0188823,0.000000,0.000000,0.000000,0.00476826,0.000000,0.000000,0.0131604,0.00057219,0.000000,0.00171657,0.000000,0.000000,0.000000,0.00228877,0.000000,0.000000,0.00019073,0.00209804,0.000000,0.000000,0.00019073,0.00076292,0.00019073,0.00019073,0.0137326,0.00133511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0109453,0.000000,0.000000,0.041791,0.000000,0.000000,0.000000,0.00597015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00199005,0.000000,0.00099502,0.00895522,0.00099502,0.000000,0.000000,0.0039801,0.000000,0.000000,0.0109453,0.000000,0.000000,0.00199005,0.000000,0.000000,0.000000,0.00298507,0.00099502,0.000000,0.000000,0.0039801,0.000000,0.000000,0.000000,0.00199005,0.000000,0.000000,0.0169154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0.000000,0.000000,0.0181624,0.00013355,0.000000,0.0381944,0.000000,0.00053419,0.000000,0.00787927,0.000000,0.000000,0.000000,0.000000,0.00080128,0.000000,0.000000,0.000000,0.00186966,0.000000,0.00160256,0.0106838,0.00106838,0.000000,0.000000,0.00320513,0.000000,0.000000,0.0173611,0.0022703,0.000000,0.00120192,0.000000,0.000000,0.000000,0.00133547,0.00026709,0.000000,0.000000,0.00133547,0.000000,0.000000,0.00120192,0.00013355,0.000000,0.000000,0.0209669,0.00026709,0.000000,0.000000,0.000000,0.000000,0.000000,0.00053419,0.000000,0.000000,1
0.000000,0.000000,0.00710227,0.000000,0.000000,0.0326704,0.000000,0.000000,0.000000,0.00426136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00284091,0.00994318,0.000000,0.000000,0.000000,0.00142045,0.000000,0.000000,0.0170455,0.000000,0.000000,0.00284091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00142045,0.000000,0.000000,0.00284091,0.0113636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00142045,0.000000,0.000000,1
0.000000,0.000000,0.0263761,0.000000,0.000000,0.0321101,0.000000,0.000000,0.000000,0.00344037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00458716,0.000000,0.00458716,0.0103211,0.000000,0.000000,0.000000,0.00229358,0.000000,0.000000,0.0160551,0.00114679,0.000000,0.00344037,0.000000,0.000000,0.000000,0.00114679,0.000000,0.000000,0.000000,0.00573394,0.000000,0.000000,0.000000,0.000000,0.000000,0.00114679,0.0206422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
